Rooms,Type
Central block 002,Lab
Central block 003,Lab
Central block 004,Lab
Central block 105,Lab
SB 003 LAB,Lab
SB 004,Theory
SB 005,Theory
SB 205,Theory
SB 206,Theory
SB 301,Theory
SB 302,Theory
SB 304,Theory
SB 306,Theory
SB 307,Theory
SB AUD 001,Theory
SLASS 013,Theory
SLASS 015,Theory
SLASS 118,Theory
SLASS 201,Theory
SLASS 202,Theory
SLASS 203,Theory
SLASS 204,Theory
SLASS 206,Theory
SLASS 207,Theory
SLASS 208,Theory
SLASS 212,Theory
SLASS 309,Theory
SLASS B002,Lab
SLASS SMC 001 Lab,Lab
SBT 202,Theory
SBT 204,Theory
SBT 303,Theory
SBT 305,Theory
SVAD 403 Lab,Lab
